imię,nazwisko,ulica,numer_domu,miasto,numer_telefonu,wiek
Olgierd,Miara,Matejki,124,Czerwionka-Leszczyny,699 315 001,68
Juliusz,Posłuszna,Krzywa,144,Głogów,880 544 250,64
Nataniel,Ciuk,Pszenna,36,Zawiercie,695 826 455,58
Kamila,Haponiuk,Cmentarna,144,Piotrków Trybunalski,22 778 05 39,68
Róża,Barczuk,Sybiraków,38,Szczecin,+48 781 965 845,59
Maks,Zyguła,Niepodległości,86,Sopot,+48 664 774 284,62
Olga,Grotek,Wiślana,105,Jaworzno,+48 579 712 426,24
Marianna,Kozień,Jaśminowa,53,Gorzów Wielkopolski,+48 785 871 087,57
Melania,Bielat,Młyńska,80,Ostróda,+48 32 601 84 10,48
Sebastian,Sośniak,Mazurska,69,Kraśnik,+48 573 933 594,33
Olaf,Petryk,Rajska,35,Września,+48 570 376 051,49
Alex,Erdmann,Grzybowa,148,Lębork,505 024 055,74
Jan,Kość,Zielna,145,Kraśnik,+48 22 652 24 38,30
Krystian,Łój,Lazurowa,24,Łódź,666 593 648,55
Ryszard,Obuchowicz,Szafirowa,130,Grodzisk Mazowiecki,+48 573 308 802,45
Agnieszka,Rusnak,Jagodowa,18,Rzeszów,514 535 218,63
Łukasz,Kuźnia,Lipca,78,Piaseczno,+48 573 667 780,46
Anna Maria,Hallmann,Jagiellońska,28,Kraśnik,+48 531 915 585,77
Maciej,Godyń,Słonecznikowa,20,Wodzisław Śląski,600 004 595,61
Agnieszka,Płaneta,Fredry,116,Jarocin,22 261 60 95,34
Borys,Brudny,Pomorska,49,Opole,+48 888 186 903,20
Robert,Becker,Wierzbowa,108,Piotrków Trybunalski,517 995 561,26
Apolonia,Rozmiarek,Malczewskiego,39,Krotoszyn,+48 885 400 710,80
Leon,Kansy,Batalionów Chłopskich,102,Oława,+48 609 721 903,52
Anita,Noszczyk,Kilińskiego,21,Pszczyna,+48 782 379 630,66
Paweł,Giec,Narcyzowa,40,Pabianice,699 210 856,37
Antoni,Głowiak,Czereśniowa,143,Olkusz,32 338 74 96,62
Kacper,Nabiałek,Odrzańska,49,Stalowa Wola,883 987 663,47
Aleksander,Domurad,Liliowa,132,Białogard,881 930 638,26
Mariusz,Flaga,Piłsudskiego,11,Oświęcim,797 910 187,61
Liwia,Grodek,Gdańska,22,Zduńska Wola,+48 606 616 168,46
Kornelia,Księżak,Głowackiego,99,Brodnica,+48 509 781 164,53
Jędrzej,Świerkosz,Rubinowa,93,Białogard,22 700 80 43,30
Eryk,Sado,Zbożowa,46,Jawor,+48 32 969 30 06,40
Igor,Przewłoka,Fredry,54,Chorzów,+48 512 238 453,28
Ryszard,Kuk,Bankowa,76,Kołobrzeg,+48 885 640 413,32
Inga,Grupa,Gołębia,104,Dębica,577 247 191,53
Tadeusz,Mikosz,Bolesława Krzywoustego,114,Wałbrzych,+48 535 869 897,37
Mariusz,Parzonka,Dobra,37,Sochaczew,32 878 42 32,20
Jeremi,Jakóbiak,Borowa,153,Piotrków Trybunalski,+48 22 171 96 16,36
Stanisław,Ziółko,Wodna,6,Nowa Sól,+48 517 461 740,41
Oliwier,Dylik,Widokowa,114,Gorlice,+48 504 854 446,61
Kamil,Jancewicz,Nowowiejska,24,Bełchatów,515 548 785,26
Jan,Kiełbus,Zaciszna,130,Czechowice-Dziedzice,+48 32 872 36 06,80
Ewelina,Twardosz,Jarzębinowa,126,Kwidzyn,+48 784 408 818,43
Leon,Olesiejuk,Ceglana,109,Luboń,+48 506 516 650,25
Julian,Sierżant,Jarzębinowa,60,Nowa Sól,+48 573 083 761,55
Marianna,Towarek,Maja,158,Starogard Gdański,+48 600 019 119,28
Borys,Indyk,Bankowa,123,Sanok,32 675 98 85,73
Maks,Ziarnik,Bociania,101,Skarżysko-Kamienna,32 103 55 04,20
Jerzy,Kuryłowicz,Matejki,148,Żagań,+48 798 994 123,32
Piotr,Ignatiuk,Źródlana,3,Dębica,+48 603 429 632,58
Aleksander,Downar,Przemysłowa,11,Polkowice,533 925 255,72
Szymon,Irla,Podmiejska,4,Pszczyna,+48 728 282 202,34
Karol,Żółkiewicz,Dworska,107,Zakopane,664 342 823,64
Justyna,Hrynkiewicz,Daszyńskiego,113,Gorlice,539 853 122,65
Kajetan,Jędruszczak,Słoneczna,59,Ostrów Mazowiecka,+48 725 709 686,53
Fryderyk,Pośnik,Broniewskiego,107,Gdynia,32 327 24 14,68
Roksana,Dorociak,Sowia,63,Świebodzice,785 508 198,57
Konstanty,Batóg,Strumykowa,121,Lubin,+48 791 239 238,34
Patryk,Sulik,Bema,89,Chrzanów,+48 665 764 946,24
Kamila,Nurkiewicz,Bydgoska,155,Koszalin,533 854 064,74
Sebastian,Orwat,Szeroka,6,Żary,32 173 59 74,57
Marcin,Cacko,Jagodowa,113,Świecie,+48 789 270 094,31
Piotr,Gregorowicz,Mała,110,Świnoujście,574 798 805,48
Urszula,Rycerz,Narcyzowa,79,Radom,+48 536 370 921,22
Roksana,Siewert,Wysoka,86,Suwałki,32 883 72 37,77
Robert,Karwan,Szymanowskiego,71,Pabianice,+48 785 321 514,37
Aleksander,Tłuczek,Klasztorna,52,Cieszyn,+48 509 288 010,52
Tobiasz,Mostek,Urocza,3,Kwidzyn,+48 607 190 626,29
Nicole,Tolak,Dojazdowa,134,Bartoszyce,609 933 759,74
Daniel,Teter,Mostowa,128,Dzierżoniów,537 854 940,41
Ewa,Wasiewicz,Częstochowska,67,Konin,+48 881 549 101,21
Grzegorz,Żbik,Władysława Łokietka,121,Tarnowskie Góry,+48 789 174 627,66
Monika,Lesisz,Floriana,68,Legnica,782 719 127,19
Dariusz,Chomik,Drzymały,68,Stargard Szczeciński,+48 22 573 42 27,20
Szymon,Miąsik,Szkolna,34,Sosnowiec,787 559 416,49
Ada,Ciepłuch,Sucharskiego,91,Bielsko-Biała,538 447 940,25
Kamila,Milej,Zdrojowa,111,Tomaszów Mazowiecki,609 643 759,25
Maks,Frankowicz,Andersa,139,Wejherowo,+48 720 375 802,21
Kamila,Korek,Konarskiego,86,Sochaczew,+48 667 251 831,75
Szymon,Fraszczyk,Jeziorna,55,Brzeg,723 755 278,67
Jędrzej,Mironiuk,Porzeczkowa,36,Wrocław,608 965 264,30
Mikołaj,Warczak,Wilcza,14,Zambrów,+48 607 603 480,65
Mariusz,Koćwin,Wyszyńskiego,122,Szczecinek,+48 508 691 349,19
Karina,Szymków,Władysława Jagiełły,146,Łaziska Górne,516 859 736,69
Aniela,Goik,Żabia,112,Puławy,+48 728 344 472,75
Bianka,Galek,Radosna,87,Nowy Sącz,+48 577 012 361,35
Maurycy,Dudko,Liliowa,16,Chełm,505 151 745,60
Kalina,Becker,Listopada,13,Wyszków,32 171 08 59,46
Adrianna,Gapys,Harcerska,56,Grodzisk Mazowiecki,609 266 796,57
Robert,Zachwieja,Srebrna,60,Kluczbork,736 154 986,51
Kaja,Krzyk,Żwirki i Wigury,27,Gorlice,880 690 086,45
Arkadiusz,Jasica,Krasickiego,57,Gliwice,+48 538 843 428,44
Kamil,Grzenia,Żytnia,74,Wołomin,+48 721 429 968,38
Roksana,Mizgała,Wiosenna,108,Zielona Góra,669 137 691,42
Inga,Rurka,Dojazdowa,151,Rumia,884 955 372,26
Emil,Kobos,Szewska,24,Leszno,22 463 82 50,80
Marcelina,Karwot,Gajowa,15,Świdnica,+48 608 040 806,61
Mariusz,Ryguła,Księżycowa,101,Dąbrowa Górnicza,+48 602 358 725,41
Damian,Dyja,Kossaka,2,Września,+48 22 997 42 06,57
Julita,Kiełbus,Klonowa,97,Toruń,665 062 753,70
Filip,Olma,Kazimierza Wielkiego,66,Polkowice,+48 791 460 975,52
Jan,Gawłowicz,Złota,121,Zduńska Wola,607 578 232,71
Ada,Budkiewicz,Pałacowa,32,Sandomierz,+48 727 039 415,65
Sylwia,Olma,Spółdzielcza,146,Tarnobrzeg,660 047 951,21
Malwina,Trepka,Gołębia,151,Augustów,+48 606 349 969,60
Róża,Skwira,Krasińskiego,83,Toruń,738 683 344,64
Maksymilian,Słowiak,Szmaragdowa,116,Bielsk Podlaski,+48 669 805 667,72
Michał,Drewa,Kilińskiego,81,Ostrów Mazowiecka,+48 516 023 102,24
Alex,Piegza,Nowa,112,Piastów,+48 795 562 096,61
Stefan,Krzan,Plażowa,4,Chrzanów,+48 506 388 669,45
Tymoteusz,Gmur,Zacisze,47,Nowa Sól,+48 502 811 586,77
Robert,Pachla,Krańcowa,39,Marki,22 934 03 19,20
Rafał,Gajzler,Ludowa,6,Głogów,+48 725 119 817,65
Anastazja,Steuer,Truskawkowa,2,Ostróda,+48 798 974 306,41
Anastazja,Drewnik,Wierzbowa,35,Opole,796 050 655,25
Kornelia,Nasiadka,Malczewskiego,91,Ostrołęka,576 661 275,51
Mieszko,Pietrusiak,Wodna,120,Dzierżoniów,723 226 787,51
Gabriel,Świerkot,Solidarnosci,79,Nowy Targ,786 021 053,74
Kajetan,Kazberuk,Jagodowa,79,Puławy,784 124 499,66
Alex,Cis,Agrestowa,131,Mińsk Mazowiecki,+48 736 828 660,49
Nicole,Lemke,Żeglarska,69,Biała Podlaska,+48 576 863 035,62
Róża,Kosznik,Daleka,21,Wodzisław Śląski,+48 781 112 802,54
Antoni,Pera,Krucza,145,Dębica,32 004 39 65,65
Angelika,Wydmuch,Głogowa,64,Zabrze,+48 888 085 981,57
Hubert,Boba,Ptasia,127,Chełm,889 656 000,44
Maksymilian,Filusz,Konopnickiej,79,Iława,696 888 977,62
Natasza,Wyrostek,Reymonta,61,Chełm,737 826 007,20
Roksana,Kempka,Parkowa,121,Rzeszów,+48 735 116 319,74
Adrian,Łyczek,Truskawkowa,106,Zawiercie,723 433 038,47
Ryszard,Malesza,Cisowa,158,Wieluń,696 582 817,39
Rafał,Tyka,Kościuszki,147,Żory,+48 22 668 76 78,21
Witold,Karpeta,Wiązowa,133,Ostrów Wielkopolski,607 214 393,64
Fabian,Linkiewicz,Kolejowa,109,Czeladź,+48 784 049 820,21
Cyprian,Zacharczuk,Jeżynowa,102,Czerwionka-Leszczyny,535 807 481,52
Agnieszka,Orszulik,Stawowa,30,Krosno,509 247 230,47
Franciszek,Hojda,Osiedlowa,51,Wałbrzych,+48 887 243 884,50
Igor,Orwat,Czarnieckiego,149,Żory,887 448 709,75
Ewa,Kucharz,Brzozowa,109,Goleniów,607 044 788,66
Marika,Zapaśnik,Mickiewicza,25,Bochnia,+48 737 655 617,79
Przemysław,Chabior,Zaciszna,147,Gliwice,+48 795 837 322,33
Blanka,Borkowicz,Jana Pawła II,35,Czerwionka-Leszczyny,515 758 440,28
Aleksander,Toś,Okulickiego,158,Świebodzice,785 212 678,69
Aleksander,Stelmasiak,Orzeszkowej,90,Malbork,698 938 386,45
Nataniel,Wiertel,Podgórna,119,Starogard Gdański,+48 501 736 777,41
Maks,Nieścioruk,Zielna,74,Świdnica,22 888 44 00,56
Janina,Włodarz,Górnicza,73,Chełm,696 328 799,21
Aniela,Goliasz,Pomorska,102,Oleśnica,+48 695 983 479,47
Kacper,Wojtaszczyk,Morcinka,154,Otwock,+48 799 249 860,27
Łukasz,Kapciak,Składowa,100,Gniezno,503 081 365,28
Karol,Knieć,Sosnowa,90,Sanok,+48 783 049 537,25
Nataniel,Dziadura,Zakole,16,Śrem,+48 577 395 888,71
Mikołaj,Osojca,Jodłowa,49,Bytom,517 768 538,37
Aniela,Szelest,Kreta,9,Słupsk,+48 786 186 379,40
Patryk,Maszota,Matejki,55,Krosno,721 157 164,43
Mateusz,Dukat,Długosza,108,Jarosław,32 350 93 14,22
Albert,Pupek,Agrestowa,119,Września,+48 725 283 524,56
Fryderyk,Lemke,Żwirki i Wigury,56,Wołomin,536 469 779,25
Natan,Jędrys,Jesionowa,102,Knurów,+48 501 278 274,75
Józef,Filek,Myśliwska,124,Mysłowice,+48 22 261 57 73,38
Marek,Rejmer,Strzelecka,128,Leszno,+48 889 908 283,54
Leonard,Wlaźlak,Dąbrowskiego,25,Nowa Ruda,501 125 209,54
Leonard,Pastor,Rumiankowa,153,Łódź,699 755 142,33
Jędrzej,Kołak,Poprzeczna,141,Puławy,+48 695 535 588,61
Ewa,Korpal,Łąkowa,151,Grudziądz,22 557 15 11,48
Liwia,Opioła,Witosa,108,Nowa Sól,+48 570 652 937,79
Sonia,Kontny,Żabia,129,Poznań,+48 692 571 319,33
Sebastian,Milej,Orzechowa,125,Bytom,572 313 774,65
Filip,Deneka,Grzybowa,146,Dzierżoniów,503 648 558,25
Damian,Sapała,Żwirowa,22,Starogard Gdański,+48 570 239 380,54
Łukasz,Orkisz,Złota,88,Września,+48 32 529 37 49,63
Ewelina,Stanaszek,Nowa,19,Sieradz,511 103 912,36
Ida,Tomaszuk,Staffa,45,Szczecinek,+48 727 612 660,56
Filip,Pietrusiewicz,Reja,57,Oleśnica,+48 662 038 060,74
Paweł,Ciećko,Lipca,26,Siemianowice Śląskie,+48 888 416 259,69
Karina,Wojtera,Jana Sobieskiego,63,Brodnica,+48 602 595 808,34
Karina,Kosałka,Długa,3,Lubin,882 500 049,42
Sonia,Kózka,Porzeczkowa,12,Polkowice,+48 739 042 198,76
Julianna,Sajewicz,Willowa,94,Polkowice,+48 789 934 064,61
Radosław,Boduch,Miodowa,65,Częstochowa,501 697 501,31
Tadeusz,Bereś,Perłowa,139,Ostrów Mazowiecka,22 757 98 68,49
Adrian,Młotek,Przemysłowa,105,Zambrów,722 368 978,39
Kazimierz,Majorek,Jabłoniowa,98,Ostrów Mazowiecka,573 015 644,50
Artur,Wojnicz,Kruczkowskiego,108,Piekary Śląskie,+48 510 467 125,73
Kornel,Feret,Kilińskiego,104,Grodzisk Mazowiecki,+48 736 759 068,37
Miłosz,Przewoźny,Wierzbowa,7,Gorlice,737 366 794,80
Aleks,Sapała,Sucharskiego,37,Łódź,697 530 582,69
Paweł,Sypień,Sportowa,108,Jastrzębie-Zdrój,887 034 355,20
Malwina,Hinca,Cyprysowa,105,Mielec,+48 694 040 259,65
Lidia,Majos,Głogowa,72,Zawiercie,+48 788 364 205,25
Stefan,Knysak,Dąbrowskiej,32,Kłodzko,+48 572 475 446,54
Jan,Amanowicz,Poprzeczna,24,Siedlce,+48 731 549 237,77
Inga,Małysiak,Szpitalna,85,Bełchatów,+48 507 306 637,71
Olgierd,Poreda,Chełmońskiego,40,Gorlice,+48 780 683 921,32
Inga,Szkaradek,Kopernika,153,Kłodzko,731 357 802,46
Leon,Kossak,Targowa,94,Mielec,+48 22 050 42 76,57
Szymon,Wilkos,Torowa,3,Rzeszów,721 746 254,74
Dariusz,Staś,Jesionowa,154,Łowicz,888 186 349,61
Sylwia,Baszak,Sportowa,152,Wyszków,+48 782 164 900,57
Róża,Martynowicz,Promienna,144,Bełchatów,669 488 832,23
Tymon,Butrym,Zielona,156,Krotoszyn,+48 666 030 063,64
Anita,Dryka,Fabryczna,78,Marki,693 187 110,55
Cyprian,Gabryel,Sowia,122,Szczytno,+48 605 439 425,63
Nela,Daraż,Wyszyńskiego,154,Malbork,799 204 668,24
Kajetan,Nesterowicz,Letnia,64,Nysa,531 763 173,65
Maks,Gajzler,Krzywa,86,Siemianowice Śląskie,32 273 31 39,54
Emil,Kansy,Działkowa,158,Stargard Szczeciński,+48 791 577 108,55
Adrian,Kordus,Kołłątaja,33,Ostrołęka,886 973 937,43
Franciszek,Buksa,Glówna,75,Zabrze,+48 579 658 243,69
Kaja,Buś,Krótka,72,Elbląg,+48 516 263 862,35
Bartek,Naumiuk,Boczna,37,Łomża,511 374 737,72
Leonard,Utrata,Pocztowa,87,Bielsk Podlaski,533 164 156,66
Emil,Parzyszek,Rumiankowa,99,Ostrowiec Świętokrzyski,887 315 182,69
Patryk,Toczko,Cmentarna,97,Luboń,+48 784 487 004,30
Jan,Soliwoda,Klasztorna,70,Bolesławiec,514 687 086,33
Maksymilian,Dułak,Sadowa,149,Iława,+48 732 659 827,75
Kacper,Ciuba,Wiosenna,101,Bochnia,+48 727 317 353,55
Janina,Juras,Hallera,87,Ostrołęka,691 402 479,31
Róża,Dobrosz,Prosta,132,Jelenia Góra,+48 738 089 047,33
Leonard,Kleinschmidt,Parkowa,135,Brzeg,538 354 199,70
Tymoteusz,Merchel,Słowianska,64,Jawor,+48 738 058 002,41
Maurycy,Aleksandrzak,Wolności,98,Wejherowo,+48 788 333 054,59
Olaf,Gruszczyk,Rolnicza,156,Zakopane,662 950 827,37
Ewelina,Wrześniak,Starowiejska,91,Częstochowa,+48 604 314 038,58
Ryszard,Fidor,Miarki,18,Szczytno,511 051 595,22
Józef,Moj,Młynarska,84,Rybnik,537 184 117,63
Wiktor,Chłąd,Cedrowa,91,Sopot,515 677 622,21
Sonia,Kurzak,Tęczowa,41,Świętochłowice,+48 531 932 551,35
Blanka,Chruszcz,Wrocławska,35,Skarżysko-Kamienna,+48 509 489 238,38
Fryderyk,Pabis,Perłowa,93,Kołobrzeg,+48 22 871 47 60,60
Jan,Siarkiewicz,Wrocławska,98,Myszków,32 464 39 10,49
Miłosz,Minta,Olchowa,140,Gniezno,666 240 676,35
Stanisław,Maculewicz,Toruńska,32,Jastrzębie-Zdrój,+48 884 838 201,61
Szymon,Grubba,Mazowiecka,157,Wyszków,+48 22 683 28 28,72
Julita,Hamerla,Zaciszna,152,Gdynia,+48 720 733 665,65
Janina,Wojsław,Korczaka,78,Tarnowskie Góry,+48 504 714 226,22
Artur,Kurp,Krańcowa,61,Luboń,518 176 887,40
Gustaw,Sklorz,Wschodnia,100,Mińsk Mazowiecki,+48 738 581 174,60
Przemysław,Wyrwich,Wiatraczna,40,Zabrze,+48 538 130 057,26
Bartek,Flisek,Zapolskiej,36,Oświęcim,609 959 382,23
Elżbieta,Morcinek,Fabryczna,107,Dębica,795 557 149,43
Alex,Sarniak,Leśna,125,Nowy Dwór Mazowiecki,578 979 696,33
Kalina,Różewicz,Spacerowa,67,Szczecinek,+48 504 795 030,43
Radosław,Mętel,Chabrowa,129,Konin,22 863 63 17,73
Gabriel,Mazepa,Szczęśliwa,22,Żary,+48 721 201 363,20
Adrianna,Durma,Rajska,54,Tarnobrzeg,+48 32 943 33 09,36
Tomasz,Baś,Listopada,16,Nowa Ruda,+48 695 392 427,69
Nikodem,Forysiak,Miła,42,Tarnowskie Góry,793 482 310,71
Oliwier,Parzyszek,Widokowa,127,Kędzierzyn-Koźle,571 249 977,43
Ignacy,Fryś,Grottgera,96,Września,+48 22 355 80 56,54
Marcel,Mizak,Swierkowa,46,Gliwice,+48 502 847 587,36
Roksana,Wałęsa,Księżycowa,134,Zawiercie,799 591 249,35
Sonia,Kupaj,Fiołkowa,94,Piotrków Trybunalski,+48 732 634 610,51
Bartek,Szyda,Zamkowa,103,Tarnowskie Góry,667 006 487,67
Cezary,Chuchla,Wczasowa,75,Szczytno,793 392 972,49
Alex,Tasarz,Młyńska,73,Katowice,578 425 509,53
Przemysław,Chochół,Rataja,71,Sosnowiec,+48 884 545 087,26
Natan,Karmelita,Willowa,32,Kraków,32 377 83 99,80
Malwina,Pietraś,Wesoła,102,Kętrzyn,603 725 967,74
Ewelina,Gołoś,Szarych Szeregów,92,Oleśnica,664 564 038,74
Alex,Fita,Tartaczna,24,Świdnik,+48 735 204 706,18
Wojciech,Duc,Cedrowa,1,Ełk,22 319 73 65,74
Łukasz,Zapiór,Kowalska,39,Kłodzko,601 339 875,37
Konrad,Krzystek,Kościuszki,20,Bielawa,606 188 251,30
Eryk,Leszczuk,Żeglarska,33,Bochnia,+48 22 222 42 45,60
Kaja,Misztela,Tulipanowa,127,Łowicz,+48 503 474 028,42
Marcelina,Pilich,Rumiankowa,20,Biała Podlaska,514 805 753,61
Przemysław,Letkiewicz,Żeromskiego,38,Żagań,783 714 283,27
Natasza,Mirończuk,Żabia,16,Oleśnica,+48 724 945 255,75
Olga,Wieczerzak,Miodowa,80,Żary,+48 22 642 14 77,57
Konrad,Budner,Poznańska,5,Marki,504 003 766,29
Blanka,Magier,Łąkowa,126,Ostrołęka,+48 737 858 442,40
Patryk,Bugla,Jadwigi,60,Gliwice,+48 799 555 458,40
Anna Maria,Szyguła,Wysoka,59,Kluczbork,+48 600 594 184,31
Ewelina,Skałka,Władysława Łokietka,73,Bytom,+48 571 716 301,38
Ksawery,Kociemba,Srebrna,75,Skierniewice,+48 798 969 095,25
Bianka,Grębowiec,Hutnicza,138,Ostrowiec Świętokrzyski,573 641 818,61
Oliwier,Prokopczuk,Nowa,156,Białystok,+48 727 521 396,27
Miłosz,Zdancewicz,Moniuszki,145,Białogard,+48 532 112 965,58
Wiktor,Jereczek,Polna,128,Grudziądz,609 875 693,66
Blanka,Kut,Wiśniowa,126,Katowice,+48 789 728 988,19
Olaf,Anioła,Środkowa,15,Wyszków,698 058 681,70
Leonard,Choina,Ceglana,140,Ostrów Mazowiecka,+48 508 029 886,37
Kaja,Cieniuch,Wiosenna,129,Gorlice,22 498 61 55,48
Mariusz,Lesner,Wybickiego,125,Biłgoraj,797 782 281,62
Albert,Sznura,Spokojna,43,Grudziądz,+48 662 786 534,72
Ida,Dusik,Wrocławska,97,Łuków,+48 885 290 238,58
Melania,Praczyk,Ludowa,72,Kościan,534 930 479,44
Elżbieta,Januszewicz,Daszyńskiego,11,Legnica,697 686 569,33
Sylwia,Michnowicz,Gajowa,16,Legnica,797 810 751,28
Sara,Owsiak,Gałczynskiego,122,Szczecinek,510 438 737,22
Daniel,Mateusiak,Żabia,75,Bochnia,+48 725 186 804,76
Ewa,Kwinta,Maczka,150,Tarnowskie Góry,725 008 565,37
Bruno,Bogumił,Pszenna,86,Leszno,697 668 315,60
Fryderyk,Sztuba,Spacerowa,129,Ostrów Mazowiecka,22 995 31 62,80
Ada,Wochna,Armii Krajowej,126,Augustów,+48 516 049 718,41
Adrian,Miszkiewicz,Przechodnia,108,Kluczbork,22 118 37 87,79
Robert,Wąsek,Narutowicza,148,Giżycko,+48 32 064 13 16,45
Julita,Witaszek,Rubinowa,48,Płock,+48 725 519 138,44
Elżbieta,Saj,Sawickiej,40,Zabrze,+48 575 012 395,68
Nela,Owczarczak,Zaułek,115,Kielce,518 035 128,30
Iwo,Nazarko,Grunwaldzka,128,Jasło,+48 505 355 355,41
Wojciech,Władyka,Szmaragdowa,69,Włocławek,786 836 559,18
Elżbieta,Berdzik,Długosza,61,Żyrardów,+48 667 358 903,69
Kornel,Gajownik,Rolnicza,28,Racibórz,530 446 591,21
Mieszko,Byra,Kaszubska,66,Bielawa,518 514 378,42
Sylwia,Tłuczek,Gołębia,146,Poznań,+48 511 795 749,78
Olaf,Duchnik,Batalionów Chłopskich,13,Gorlice,605 585 941,24
Arkadiusz,Krenc,Jana III Sobieskiego,44,Tarnowskie Góry,+48 606 861 107,19
Łukasz,Klos,Kreta,150,Lubliniec,501 187 088,29
Anna Maria,Markiel,Poziomkowa,126,Słupsk,+48 604 453 999,31
Gabriel,Dej,Diamentowa,152,Radom,605 147 730,29
Elżbieta,Fedak,Fredry,70,Bydgoszcz,+48 509 380 354,56
Jan,Oleksak,Widokowa,22,Gorlice,+48 530 069 911,72
Alan,Rozmiarek,Jaworowa,91,Pabianice,794 473 868,52
Jakub,Bączkiewicz,Truskawkowa,8,Szczecinek,722 985 858,50
Rozalia,Klemens,Kościelna,113,Bielsk Podlaski,+48 530 009 204,25
Stefan,Kusa,Jałowcowa,59,Nowa Sól,+48 730 088 863,38
Leon,Buczko,Jana Sobieskiego,45,Wałbrzych,+48 32 492 56 47,23
Kornelia,Szlachcic,Żurawia,151,Wieluń,+48 731 098 043,37
Sandra,Żywica,Kolorowa,138,Nowy Targ,+48 665 826 500,32
Karol,Balawender,Zbożowa,31,Lębork,723 272 788,21
Oskar,Bieleń,Orla,23,Rzeszów,661 262 942,77
Gaja,Knapek,Wolności,80,Leszno,22 786 08 95,22
Ewa,Sołek,Popiełuszki,59,Radom,888 357 217,32
Sonia,Boguś,Bema,21,Malbork,880 573 434,48
Róża,Kwasek,Jeziorna,87,Toruń,577 535 747,22
Inga,Jaszcz,Długosza,14,Bochnia,501 806 748,26
Sebastian,Mućko,Pogodna,66,Sochaczew,536 669 617,53
Tomasz,Michniak,Stycznia,159,Szczecin,+48 782 891 512,18
Tymoteusz,Ciechowicz,Władysława Łokietka,88,Słupsk,884 433 651,40
Eliza,Nasiadka,Żeglarska,99,Zambrów,+48 503 345 215,33
Melania,Knysak,Kamienna,150,Nowy Sącz,792 420 507,45
Karina,Rosłon,Batalionów Chłopskich,153,Starogard Gdański,885 291 866,69
Ida,Tadla,Wolności,145,Środa Wielkopolska,+48 790 689 758,52
Witold,Woronko,Olchowa,71,Bielawa,+48 784 922 596,66
Nela,Młyńczak,Ciasna,158,Wołomin,665 101 938,57
Anna Maria,Smagała,Niecała,23,Krosno,602 924 487,69
Kamil,Koterba,Jana III Sobieskiego,93,Wołomin,+48 518 456 338,60
Tymon,Pioch,Dworcowa,73,Mińsk Mazowiecki,729 746 111,55
Konstanty,Zaniewicz,Konwaliowa,137,Swarzędz,+48 733 670 955,24
Witold,Brząkała,Podleśna,143,Łomża,887 659 373,33
Nela,Przewoźna,Zamkowa,81,Łomża,32 113 25 12,62
Emil,Borejko,Pocztowa,69,Mysłowice,+48 574 227 581,64
Fryderyk,Dziduch,Willowa,77,Lublin,667 687 477,46
Liwia,Frania,Tulipanowa,83,Rybnik,+48 732 270 734,23
Gustaw,Poczta,Mieszka I,35,Dębica,603 279 535,59
Kacper,Stranc,Głogowa,23,Świebodzice,723 200 623,18
Fryderyk,Pikula,Głogowa,102,Giżycko,515 149 750,18
Patryk,Lesner,Rycerska,45,Koszalin,530 783 312,64
Jędrzej,Bachanek,Ogrodowa,88,Bielsk Podlaski,+48 786 631 883,34
Juliusz,Baumgart,Drzymały,86,Giżycko,+48 22 452 59 48,35
Aleksander,Wałęsa,Jadwigi,33,Zgierz,695 349 028,20
Natasza,Petrus,Ptasia,67,Grodzisk Mazowiecki,+48 880 349 061,80
Alan,Sowała,Lotnicza,9,Chojnice,+48 579 679 063,64
Dorota,Zawartka,Zbożowa,58,Włocławek,+48 502 153 145,24
Borys,Litwiniuk,Rejtana,129,Ostrowiec Świętokrzyski,+48 723 706 877,79
Fabian,Ryczko,Łabędzia,134,Cieszyn,883 916 733,22
Kornel,Chodak,Orla,23,Mysłowice,536 810 502,55
Olgierd,Adamów,Chopina,82,Zakopane,500 653 124,75
Dagmara,Sporysz,Królewska,138,Żory,511 238 692,43
Józef,Apanowicz,Srebrna,129,Żyrardów,+48 509 888 246,54
Julian,Chadaj,Stefana Batorego,55,Śrem,+48 532 248 116,19
Ryszard,Rup,Młyńska,55,Tarnów,579 790 678,45
Olga,Steinke,Fabryczna,131,Wieluń,+48 880 493 751,24
Jeremi,Miara,Narcyzowa,8,Skarżysko-Kamienna,+48 535 242 252,78
Witold,Giża,Dworska,65,Elbląg,22 978 33 42,57
Adam,Zbróg,Matejki,149,Olsztyn,533 574 640,79
Ewa,Adamiuk,Wiśniowa,105,Słupsk,32 833 45 34,80
Lidia,Sporek,Stefana Batorego,46,Jelenia Góra,+48 794 089 941,56
Bianka,Kołaczek,Środkowa,144,Warszawa,720 041 767,49
Fryderyk,Sudak,Zaułek,113,Łomża,+48 668 730 214,44
Franciszek,Piegza,Częstochowska,96,Kraśnik,739 719 513,73
Marcel,Kołodziejak,Szpitalna,158,Kielce,797 426 695,22
Norbert,Zander,Osiedlowa,48,Biłgoraj,793 603 719,39
Jan,Wawak,Rataja,3,Inowrocław,32 154 61 83,46
Artur,Dyś,Krakowska,117,Jelenia Góra,+48 786 382 646,41
Kaja,Wawrzyczek,Cyprysowa,80,Tarnów,32 666 31 96,60
Leonard,Minkiewicz,Asnyka,145,Świebodzice,+48 502 600 718,30
Mariusz,Myszk,Wolności,52,Szczecinek,+48 32 525 60 92,52
